text,href,full_url
USBP Nationwide Apprehensions January 2026,/sites/default/files/2026-05/usbp_nationwide_apprehensions_january_2026.xlsx,https://www.cbp.gov/sites/default/files/2026-05/usbp_nationwide_apprehensions_january_2026.xlsx
USBP Nationwide Apprehensions July 2025,/sites/default/files/2026-05/usbp_nationwide_apprehensions_july_2025.xlsx,https://www.cbp.gov/sites/default/files/2026-05/usbp_nationwide_apprehensions_july_2025.xlsx
USBP Nationwide Apprehensions August 2025,/sites/default/files/2026-05/usbp_nationwide_apprehensions_august_2025.xlsx,https://www.cbp.gov/sites/default/files/2026-05/usbp_nationwide_apprehensions_august_2025.xlsx
USBP Nationwide Apprehensions December 2025,/sites/default/files/2026-01/usbp_nationwide_apprehensions_december_2025.xlsx,https://www.cbp.gov/sites/default/files/2026-01/usbp_nationwide_apprehensions_december_2025.xlsx
USBP Nationwide Apprehensions September 2025,/sites/default/files/2026-01/usbp_nationwide_apprehensions_september_2025.xlsx,https://www.cbp.gov/sites/default/files/2026-01/usbp_nationwide_apprehensions_september_2025.xlsx
USBP Nationwide Apprehensions October 2025,/sites/default/files/2026-01/usbp_nationwide_apprehensions_october_2025.xlsx,https://www.cbp.gov/sites/default/files/2026-01/usbp_nationwide_apprehensions_october_2025.xlsx
USBP Nationwide Apprehension November 2025,/sites/default/files/2026-01/usbp_nationwide_apprehension_november_2025.xlsx,https://www.cbp.gov/sites/default/files/2026-01/usbp_nationwide_apprehension_november_2025.xlsx
USBP Nationwide Apprehensions June 2025,/sites/default/files/2025-09/usbp_nationwide_apprehensions_june_2025.xlsx,https://www.cbp.gov/sites/default/files/2025-09/usbp_nationwide_apprehensions_june_2025.xlsx
"USBP Nationwide Apprehensions Referred by Texas National Guard and Department of Public Safety January 01, 2006 - August 07, 2025",/sites/default/files/2025-08/usbp_nationwide_apprehensions_referred_by_texas_national_guard_and_department_of_public_safety.january_01_2006_-_august_07_2025.xlsx,https://www.cbp.gov/sites/default/files/2025-08/usbp_nationwide_apprehensions_referred_by_texas_national_guard_and_department_of_public_safety.january_01_2006_-_august_07_2025.xlsx
USBP Nationwide Apprehension Q3 FY 2024,/sites/default/files/2025-08/usbp_nationwide_apprehension_q3_fy_2024.xlsx,https://www.cbp.gov/sites/default/files/2025-08/usbp_nationwide_apprehension_q3_fy_2024.xlsx
USBP Nationwide Apprehension Q4 FY 2024,/sites/default/files/2025-08/usbp_nationwide_apprehension_q4_fy_2024.xlsx,https://www.cbp.gov/sites/default/files/2025-08/usbp_nationwide_apprehension_q4_fy_2024.xlsx
"USBP Nationwide Apprehensions FY2025 Dec 1, 2025 through March 31, 2025",/sites/default/files/2025-06/usbp_nationwide_apprehensions_fy2025_dec_1_2025_through_march_31_2025.xlsx,https://www.cbp.gov/sites/default/files/2025-06/usbp_nationwide_apprehensions_fy2025_dec_1_2025_through_march_31_2025.xlsx
USBP Nationwide Apprehensions April 2025,/sites/default/files/2025-06/usbp_nationwide_apprehensions_april_2025.xlsx,https://www.cbp.gov/sites/default/files/2025-06/usbp_nationwide_apprehensions_april_2025.xlsx
USBP Nationwide Apprehensions May 2025,/sites/default/files/2025-07/usbp_nationwide_apprehensions_may_2025.xlsx,https://www.cbp.gov/sites/default/files/2025-07/usbp_nationwide_apprehensions_may_2025.xlsx
USBP Ramsey Sector Dominican Republican and Haitian Apprehensions FY1992 To FY2025 TD,/sites/default/files/2025-04/usbp_ramsey_sector_dominican_republican_and_haitian_apprehensions_fy1992_to_fy2025_td.xlsx,https://www.cbp.gov/sites/default/files/2025-04/usbp_ramsey_sector_dominican_republican_and_haitian_apprehensions_fy1992_to_fy2025_td.xlsx
USBP Apprehensions FY 2008,/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2008_FORRELEASE.xlsx,https://www.cbp.gov/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2008_FORRELEASE.xlsx
USBP Apprehensions FY 2009,/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2009_FORRELEASE%20%281%29.xlsx,https://www.cbp.gov/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2009_FORRELEASE%20(1).xlsx
USBP Apprehensions FY 2010,/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2010_FORRELEASE%20%281%29.xlsx,https://www.cbp.gov/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2010_FORRELEASE%20(1).xlsx
USBP Apprehensions FY 2011,/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2011_FORRELEASE%20%281%29.xlsx,https://www.cbp.gov/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2011_FORRELEASE%20(1).xlsx
USBP Apprehensions FY 2012,/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2012_FORRELEASE%20%281%29.xlsx,https://www.cbp.gov/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2012_FORRELEASE%20(1).xlsx
USBP Apprehensions FY 2013,/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2013_FORRELEASE%20%281%29.xlsx,https://www.cbp.gov/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2013_FORRELEASE%20(1).xlsx
USBP Apprehensions FY 2014 Q1Q2,/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2014_Q1Q2_FORRELEASE.xlsx,https://www.cbp.gov/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2014_Q1Q2_FORRELEASE.xlsx
USBP Apprehensions FY 2015,/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2015_FORRELEASE.xlsx,https://www.cbp.gov/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2015_FORRELEASE.xlsx
USBP Apprehensions FY 2016,/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2016_Q1Q2_FORRELEASE.xlsx,https://www.cbp.gov/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2016_Q1Q2_FORRELEASE.xlsx
