text,href,full_url
OFO Inadmissibles February 2026,/sites/default/files/2026-05/ofo_inadmissibles_february_2026.xlsx,https://www.cbp.gov/sites/default/files/2026-05/ofo_inadmissibles_february_2026.xlsx
OFO Inadmissibles March 2026,/sites/default/files/2026-05/ofo_inadmissibles_march_2026.xlsx,https://www.cbp.gov/sites/default/files/2026-05/ofo_inadmissibles_march_2026.xlsx
OFO Inadmissible January 2026,/sites/default/files/2026-02/ofo_inadmissible_january_2026.xlsx,https://www.cbp.gov/sites/default/files/2026-02/ofo_inadmissible_january_2026.xlsx
OFO CY2019 Inadmissibles,/sites/default/files/2026-01/ofo_cy2019_inadmissibles.xlsx,https://www.cbp.gov/sites/default/files/2026-01/ofo_cy2019_inadmissibles.xlsx
"OFO Inadmissible's Cubans, Haitians, Nicaraguans, and Venezuelans (CHNV) Jan 2022 - March 2025",/sites/default/files/2026-01/ofo_inadmissibles_cubans_haitians_nicaraguans_and_venezuelans_chnv_jan_2022_-_march_2025.xlsx,https://www.cbp.gov/sites/default/files/2026-01/ofo_inadmissibles_cubans_haitians_nicaraguans_and_venezuelans_chnv_jan_2022_-_march_2025.xlsx
OFO Inadmissible December 2025,/sites/default/files/2026-01/ofo_inadmissble_december_2025.xlsx,https://www.cbp.gov/sites/default/files/2026-01/ofo_inadmissble_december_2025.xlsx
OFO Inadmissible November 2025,/sites/default/files/2025-12/ofo_inadmissible_november_2025.xlsx,https://www.cbp.gov/sites/default/files/2025-12/ofo_inadmissible_november_2025.xlsx
OFO Detailed Inadmissible Data September 2025,/sites/default/files/2025-11/ofo_detailed_inadmissable_data_september_2025.xlsx,https://www.cbp.gov/sites/default/files/2025-11/ofo_detailed_inadmissable_data_september_2025.xlsx
OFO Inadmissible October 2025,/sites/default/files/2025-11/ofo_inadmissible_october_2025.xlsx,https://www.cbp.gov/sites/default/files/2025-11/ofo_inadmissible_october_2025.xlsx
OFO Inadmissible August 2025,/sites/default/files/2025-09/ofo_inadmissible_august_2025.xlsx,https://www.cbp.gov/sites/default/files/2025-09/ofo_inadmissible_august_2025.xlsx
OFO Inadmissible June 2025,/sites/default/files/2025-07/ofo_inadmissible_june_2025.xlsx,https://www.cbp.gov/sites/default/files/2025-07/ofo_inadmissible_june_2025.xlsx
OFO Inadmissible May 2025,/sites/default/files/2025-06/ofo_admissible_may_2025_0.xlsx,https://www.cbp.gov/sites/default/files/2025-06/ofo_admissible_may_2025_0.xlsx
OFO Inadmissible April 2025,/sites/default/files/2025-05/ofo_inadmissible_april_2025.xlsx,https://www.cbp.gov/sites/default/files/2025-05/ofo_inadmissible_april_2025.xlsx
OFO Inadmissible March 2025,/sites/default/files/2025-04/ofo_inadmissible_march_2025.xlsx,https://www.cbp.gov/sites/default/files/2025-04/ofo_inadmissible_march_2025.xlsx
OFO Inadmissible Case By Case Feb 2025,/sites/default/files/2025-03/ofo_inadmissible_case_by_case_feb_2025_0.xlsx,https://www.cbp.gov/sites/default/files/2025-03/ofo_inadmissible_case_by_case_feb_2025_0.xlsx
OFO Inadmissible February 2025,/sites/default/files/2025-03/ofo_inadmissible_case_by_case_feb_2025.xlsx,https://www.cbp.gov/sites/default/files/2025-03/ofo_inadmissible_case_by_case_feb_2025.xlsx
OFO Inadmissible Oct 2024 Through Jan 2025,/sites/default/files/2025-03/ofo_inadmissible_oct_2024_through_jan_2025.xlsx,https://www.cbp.gov/sites/default/files/2025-03/ofo_inadmissible_oct_2024_through_jan_2025.xlsx
OFO Inadmissible Case By Case Oct 1 2024 to Nov 30 2024,/sites/default/files/2025-01/ofo_inadmissible_case_by_case_oct_1_2024_to_nov_30_2024.xlsx,https://www.cbp.gov/sites/default/files/2025-01/ofo_inadmissible_case_by_case_oct_1_2024_to_nov_30_2024.xlsx
OFO Inadmissibles August to September 2024,/sites/default/files/2024-10/ofo_inadmissible_aug_to_sep_2024.xlsx,https://www.cbp.gov/sites/default/files/2024-10/ofo_inadmissible_aug_to_sep_2024.xlsx
CY 2014_OFO Inadmissibles,/sites/default/files/2024-09/cy_2014_ofo_inadmissibles_redacted.xlsx,https://www.cbp.gov/sites/default/files/2024-09/cy_2014_ofo_inadmissibles_redacted.xlsx
CY 2015_OFO Inadmissibles,/sites/default/files/2024-09/cy_2015_ofo_inadmissibles_redacted.xlsx,https://www.cbp.gov/sites/default/files/2024-09/cy_2015_ofo_inadmissibles_redacted.xlsx
CY 2016_OFO Inadmissibles,/sites/default/files/2024-09/cy_2016_ofo_inadmissibles_redacted.xlsx,https://www.cbp.gov/sites/default/files/2024-09/cy_2016_ofo_inadmissibles_redacted.xlsx
CY 2018_OFO Inadmissibles,/sites/default/files/2024-10/cy_2018_ofo_inadmissibles_redacted.xlsx,https://www.cbp.gov/sites/default/files/2024-10/cy_2018_ofo_inadmissibles_redacted.xlsx
CY 2019_OFO Inadmissibles,/sites/default/files/2024-10/cy_2019_ofo_inadmissibles_redacted.xlsx,https://www.cbp.gov/sites/default/files/2024-10/cy_2019_ofo_inadmissibles_redacted.xlsx
CY 2020_OFO Inadmissibles,/sites/default/files/2024-10/cy_2020_ofo_inadmissibles_redacted.xlsx,https://www.cbp.gov/sites/default/files/2024-10/cy_2020_ofo_inadmissibles_redacted.xlsx
CY 2021_OFO Inadmissibles,/sites/default/files/2024-10/cy_2021_ofo_inadmissibles_redacted.xlsx,https://www.cbp.gov/sites/default/files/2024-10/cy_2021_ofo_inadmissibles_redacted.xlsx
CY 2022 Part 1_OFO Inadmissibles,/sites/default/files/2024-10/cy_2022_part_1_ofo_inadmissibles_redacted.xlsx,https://www.cbp.gov/sites/default/files/2024-10/cy_2022_part_1_ofo_inadmissibles_redacted.xlsx
CY 2022 Part 2_OFO Inadmissibles,/sites/default/files/2024-10/cy_2022_part_2_ofo_inadmissibles_redacted.xlsx,https://www.cbp.gov/sites/default/files/2024-10/cy_2022_part_2_ofo_inadmissibles_redacted.xlsx
CY 2023 Part 1_OFO Inadmissibles,/sites/default/files/2024-10/cy_2023_part_1_ofo_inadmissibles_redacted.xlsx,https://www.cbp.gov/sites/default/files/2024-10/cy_2023_part_1_ofo_inadmissibles_redacted.xlsx
CY 2023 Part 2_OFO Inadmissibles,/sites/default/files/2024-10/cy_2023_part_2_ofo_inadmissibles_redacted.xlsx,https://www.cbp.gov/sites/default/files/2024-10/cy_2023_part_2_ofo_inadmissibles_redacted.xlsx
CY 2023 Part 3_OFO Inadmissibles,/sites/default/files/2024-10/cy_2023_part_3_ofo_inadmissibles_redacted.xlsx,https://www.cbp.gov/sites/default/files/2024-10/cy_2023_part_3_ofo_inadmissibles_redacted.xlsx
